,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
1287,-0.5216680298169467,0.0,1.0,0.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1288,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,bottom_25pct
1289,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,other
1291,-0.17366767613537296,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1292,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,other
1293,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1295,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,other
1296,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,other
1297,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1298,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,other
1299,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,top_10pct
1301,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,bottom_25pct
1302,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1303,-0.8696683834985205,0.0,1.0,0.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,other
1304,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,other
1306,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,other
1307,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,other
1308,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,top_10pct
1309,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,other
1310,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,other
1311,-1.2176687371800943,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,other
1312,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,other
1313,1.218333738590922,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,bottom_25pct
1314,-0.5216680298169467,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1315,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,bottom_25pct
1316,-0.8696683834985205,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,top_10pct
1317,-1.2176687371800943,0.0,0.0,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,other
1318,-1.5656690908616682,1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,other
1319,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,top_10pct
1320,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
1321,-0.8696683834985205,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,other
1322,-0.5216680298169467,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
1323,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,other
1324,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,other
1325,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,other
1326,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,other
1328,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
1329,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1331,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1332,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1334,-1.2176687371800943,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,top_10pct
1335,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,bottom_25pct
1337,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1339,-1.5656690908616682,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,other
1341,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,other
1342,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,other
1343,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,bottom_25pct
1344,-1.5656690908616682,0.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1345,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1347,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,bottom_25pct
1350,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,other
1352,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,other
1354,0.5223330312277746,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,top_10pct
1355,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,other
1356,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,bottom_25pct
1358,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1359,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1360,1.218333738590922,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,other
1361,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,bottom_25pct
1362,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,other
1364,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,other
1365,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,other
1368,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,bottom_25pct
1369,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,bottom_25pct
1370,-1.5656690908616682,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1371,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1372,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,bottom_25pct
1373,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
1374,-0.8696683834985205,1.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1375,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,bottom_25pct
1377,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,other
1378,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,other
1379,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
1381,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,other
1382,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
1384,-0.17366767613537296,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1385,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,top_10pct
1386,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,other
1388,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,bottom_25pct
1390,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,other
1391,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,bottom_25pct
1393,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,bottom_25pct
1394,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,bottom_25pct
1395,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,other
1396,1.566334092272496,0.0,0.0,1.0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,other
1397,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,bottom_25pct
1398,0.8703333849093484,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,bottom_25pct
1399,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,other
1400,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,other
1402,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,other
1403,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,top_10pct
1404,-0.17366767613537296,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,bottom_25pct
1405,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,top_10pct
1406,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,other
1407,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
1408,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,other
1410,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,other
1411,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,bottom_25pct
1412,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,other
1413,-0.8696683834985205,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1414,1.218333738590922,0.0,0.0,1.0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,other
1415,0.17433267754620083,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
1416,-1.2176687371800943,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1417,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1418,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,top_10pct
1420,-0.8696683834985205,0.0,1.0,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,bottom_25pct
1421,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,other
1422,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
1423,-0.5216680298169467,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1425,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,other
1426,-0.5216680298169467,0.0,1.0,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,top_10pct
1428,0.8703333849093484,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1429,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
1431,-1.5656690908616682,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1433,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1434,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1436,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,bottom_25pct
1437,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,other
1438,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1440,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,other
1441,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,other
1442,-0.8696683834985205,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
1443,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,other
1444,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
1446,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,other
1447,0.17433267754620083,0.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,other
1448,-1.2176687371800943,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,top_10pct
1449,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
1450,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,other
1451,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,top_10pct
1452,-0.5216680298169467,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,other
1453,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,other
1454,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1456,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,other
1457,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,other
1458,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,other
1460,1.218333738590922,0.0,1.0,0.0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,other
1461,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,other
1462,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1463,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,other
1464,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,bottom_25pct
1465,-1.2176687371800943,0.0,1.0,0.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,other
1466,-0.8696683834985205,0.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,top_10pct
1468,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,other
1469,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,other
1470,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,other
1471,-0.17366767613537296,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,bottom_25pct
1472,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,other
1473,1.566334092272496,0.0,1.0,0.0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,other
1474,0.8703333849093484,0.0,0.0,1.0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1476,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,top_10pct
1477,-1.5656690908616682,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,other
1480,-0.5216680298169467,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,top_10pct
1481,-1.2176687371800943,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,top_10pct
1482,-0.8696683834985205,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
1483,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1485,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1486,-0.8696683834985205,0.0,1.0,0.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,bottom_25pct
1487,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,other
1488,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,other
1489,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,other
1491,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,other
1494,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,other
1495,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,bottom_25pct
1496,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,other
1497,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,other
1499,0.5223330312277746,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
1500,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,other
1501,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,other
1502,-1.5656690908616682,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1503,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,bottom_25pct
1504,-0.8696683834985205,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,other
1505,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,other
1506,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,other
1508,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,other
1509,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,other
1510,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
1511,0.17433267754620083,0.0,1.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,other
1512,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,top_10pct
1513,-0.5216680298169467,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,bottom_25pct
1514,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,top_10pct
1515,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,bottom_25pct
1516,-0.5216680298169467,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,top_10pct
1517,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,other
1518,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,other
1519,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,bottom_25pct
1520,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,top_10pct
1521,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,other
1522,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1523,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,other
1524,0.8703333849093484,0.0,1.0,0.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,other
1526,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
1527,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,other
1528,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,bottom_25pct
1530,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,other
1532,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,other
1533,-0.5216680298169467,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,other
1534,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,other
1535,1.566334092272496,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,other
1538,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,other
1539,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,other
1540,-0.17366767613537296,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,top_10pct
1543,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,bottom_25pct
1545,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,other
1547,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,other
1548,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,top_10pct
1550,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,other
1551,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,other
1554,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,other
1555,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,other
1556,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,other
1557,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,other
1559,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,other
1560,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,bottom_25pct
1561,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,bottom_25pct
1562,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,other
1564,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,other
1565,-0.5216680298169467,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,bottom_25pct
1566,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,other
1567,1.218333738590922,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
1568,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,top_10pct
1569,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,other
